X,Y,Z,R,P,Y,Training epochs,Score,Max    possible,Percentage,Difference
-0.1,-0.1,0.9,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.7543357133865,474,1.0205787673278197,-9.754335713386524
-0.1,-0.1,1.0,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.9019063472748,474,1.0208900977790607,-9.901906347274803
-0.1,-0.1,1.1,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.8170129060745,474,1.0207109976921402,-9.817012906074524
-0.1,0.0,0.9,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.9002466917038,474,1.0208865963959997,-9.900246691703785
-0.1,0.0,1.0,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.97568438053133,474,1.0210457476382517,-9.975684380531334
-0.1,0.0,1.1,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.83832371234894,474,1.0207559571990483,-9.838323712348938
-0.1,0.1,0.9,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.84584801197053,474,1.020771831248883,-9.845848011970531
-0.1,0.1,1.0,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.88972344398496,474,1.0208643954514451,-9.889723443984963
-0.1,0.1,1.1,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.7827118396759,474,1.020638632573156,-9.782711839675926
0.0,-0.1,0.9,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.8713587760925,474,1.0208256514263554,-9.871358776092507
0.0,-0.1,1.0,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.9740896940231,474,1.0210423833207238,-9.974089694023121
0.0,-0.1,1.1,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.5792732715607,474,1.0202094372817736,-9.57927327156068
0.0,0.0,0.9,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.9133830547333,474,1.0209143102420533,-9.913383054733288
0.0,0.0,1.0,0.0,0.0,0.0,1000000.0,1.0,2000000.0,480.22986216545104,474,1.0131431691254242,-6.229862165451038
0.0,0.0,1.1,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.9812779664993,474,1.0210575484525302,-9.981277966499306
0.0,0.1,0.9,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.92789142131807,474,1.0209449186103756,-9.927891421318066
0.0,0.1,1.0,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.97561595439913,474,1.0210456032793231,-9.975615954399132
0.0,0.1,1.1,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.8650896787643,474,1.0208124254826252,-9.86508967876432
0.1,-0.1,0.9,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.6717544078827,474,1.0204045451643096,-9.671754407882702
0.1,-0.1,1.0,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.90199143886565,474,1.0208902772971848,-9.90199143886565
0.1,-0.1,1.1,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.7416058063507,474,1.0205519109838623,-9.74160580635072
0.1,0.0,0.9,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.8607172250748,474,1.0208032008967822,-9.86071722507478
0.1,0.0,1.0,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.9751048564911,474,1.0210445250136944,-9.9751048564911
0.1,0.0,1.1,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.89450895786285,474,1.0208744914722845,-9.894508957862854
0.1,0.1,0.9,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.5483465909958,474,1.0201441911202442,-9.548346590995777
0.1,0.1,1.0,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.890473484993,474,1.0208659778164408,-9.890473484992981
0.1,0.1,1.1,0.0,0.0,0.0,1000000.0,1.0,1000000.0,483.7606795310974,474,1.0205921509094882,-9.760679531097423
