X,Y,Z,R,P,Y,Training epochs,Score,Max    possible,Percentage,Difference
0.1,0.0,0.0,0.1,0.1,0.1,1110000.0,16.85339629650116,474,0.03555568838924295,457.14660370349884
0.1,0.1,0.1,0.0,0.0,0.1,1110000.0,472.7837734222412,474,0.9974341211439688,1.216226577758789
0.1,0.1,0.1,0.1,0.1,0.1,1110000.0,49.719457775354385,474,0.10489337083408098,424.2805422246456
0.1,0.0,0.1,0.0,0.1,0.1,1110000.0,60.96542427688837,474,0.12861903855883622,413.03457572311163
0.1,0.0,0.0,0.1,0.0,0.1,1110000.0,202.74744296371938,474,0.42773722144244597,271.2525570362806
0.1,0.0,0.0,0.0,0.0,0.0,1110000.0,56.408573895692825,474,0.11900543015968951,417.5914261043072
0.1,0.0,0.1,0.1,0.1,0.1,1110000.0,47.15266723185778,474,0.09947820091109236,426.8473327681422
0.0,0.0,0.1,0.0,0.0,0.0,1110000.0,473.1534490585327,474,0.998214027549647,0.8465509414672852
0.1,0.1,0.0,0.1,0.1,0.0,1110000.0,79.71296192705631,474,0.16817080575328336,394.2870380729437
0.1,0.1,0.1,0.1,0.0,0.1,1110000.0,71.10049360990524,474,0.15000104137110812,402.89950639009476
0.0,0.1,0.0,0.0,0.0,0.0,1110000.0,56.35035043954849,474,0.11888259586402636,417.6496495604515
0.0,0.1,0.0,0.0,0.0,0.1,1110000.0,42.7283970117569,474,0.09014429749315801,431.2716029882431
0.0,0.1,0.1,0.0,0.1,0.0,1110000.0,66.5087328106165,474,0.14031378230087868,407.4912671893835
0.0,0.1,0.1,0.1,0.0,0.0,1110000.0,72.2956899702549,474,0.15252255267986264,401.7043100297451
0.1,0.0,0.1,0.1,0.0,0.1,1110000.0,65.70122487226035,474,0.1386101790554016,408.29877512773965
0.1,0.1,0.0,0.1,0.0,0.0,1110000.0,78.1798827946186,474,0.16493646159202238,395.8201172053814
0.1,0.1,0.0,0.1,0.0,0.1,1110000.0,77.99653390049934,474,0.16454964957911253,396.00346609950066
0.1,0.1,0.1,0.0,0.1,0.1,1110000.0,59.78580488264561,474,0.12613039004777554,414.2141951173544
0.1,0.1,0.1,0.1,0.1,0.0,1110000.0,50.440064162015915,474,0.10641363747260742,423.5599358379841
0.1,0.0,0.1,0.0,0.1,0.0,1110000.0,238.39186298847198,474,0.502936419806903,235.60813701152802
0.0,0.0,0.0,0.0,0.1,0.0,1110000.0,75.6513328999281,474,0.1596019681433082,398.3486671000719
0.0,0.0,0.0,0.0,0.0,0.1,1110000.0,16.70931613445282,474,0.03525172180264308,457.2906838655472
0.0,0.1,0.0,0.1,0.0,0.0,1110000.0,78.82070377469063,474,0.1662884045879549,395.1792962253094
0.0,0.0,0.0,0.1,0.0,0.1,1110000.0,253.1823098897934,474,0.5341398942822646,220.8176901102066
0.0,0.1,0.0,0.0,0.1,0.1,1110000.0,74.98471178114414,474,0.15819559447498766,399.01528821885586
0.0,0.1,0.1,0.1,0.1,0.0,1110000.0,54.69951656181365,474,0.115399823970071,419.30048343818635
0.1,0.0,0.1,0.0,0.0,0.0,1110000.0,473.0335100889206,474,0.9979609917487776,0.9664899110794067
0.0,0.0,0.0,0.0,0.0,0.0,1130000.0,65.92145577073097,474,0.13907480120407378,408.078544229269
0.1,0.1,0.0,0.0,0.0,0.1,1110000.0,189.3287941366434,474,0.3994278357313152,284.6712058633566
